shopping_center_name,center_type,address_street,address_city,address_state,address_zip,county,municipality,zoning_authority,year_built,owner,property_manager,leasing_agent,leasing_brokerage,total_gla,tenant_name,tenant_suite_number,square_footage,retail_category,ownership_type,base_rent,lease_term,lease_commence,lease_expiration,credit_category,,major_group
Shoppes at Dilworthtown Crossing,Neighborhood Center,1371 Wilmington Pike,West Chester,PA,19382,Chester,Birmingham Township,,2002,Waters Retail Group,Waters Retail Group,Kevin Lahn,,123629,Vacant,AA,10125,Vacant,,0,,,,,Apparel (Upscale),Inline Retail
Shoppes at Dilworthtown Crossing,Neighborhood Center,1371 Wilmington Pike,West Chester,PA,19382,Chester,Birmingham Township,,2002,Waters Retail Group,Waters Retail Group,Kevin Lahn,,123629,Fine Wine & Good Spirits,A-B,6875,Liquor & Wine,,28,15 years,11/1/2015,11/1/2030,,Big Box | Retail,Anchors & Majors
Shoppes at Dilworthtown Crossing,Neighborhood Center,1371 Wilmington Pike,West Chester,PA,19382,Chester,Birmingham Township,,2002,Waters Retail Group,Waters Retail Group,Kevin Lahn,,123629,StretchLab,C,2500,Physical Therapy,,26,7 years,10/1/2023,10/1/2030,,Big Box | Home Improvement,Anchors & Majors
Shoppes at Dilworthtown Crossing,Neighborhood Center,1371 Wilmington Pike,West Chester,PA,19382,Chester,Birmingham Township,,2002,Waters Retail Group,Waters Retail Group,Kevin Lahn,,123629,Vacant,D,1550,Vacant,,0,,,,,Department Store,Anchors & Majors
Shoppes at Dilworthtown Crossing,Neighborhood Center,1371 Wilmington Pike,West Chester,PA,19382,Chester,Birmingham Township,,2002,Waters Retail Group,Waters Retail Group,Kevin Lahn,,123629,Clothes Mentor,E,4500,Apparel (Womens),,25,5 years ,1/1/2021,1/1/2026,,Supermarket,Anchors & Majors
Shoppes at Dilworthtown Crossing,Neighborhood Center,1371 Wilmington Pike,West Chester,PA,19382,Chester,Birmingham Township,,2002,Waters Retail Group,Waters Retail Group,Kevin Lahn,,123629,El Limon Mexican Taqueria,F,2000,Restaurant | Mexican,,28,5 years ,11/1/2023,11/1/2028,,Discount Store,Anchors & Majors
Shoppes at Dilworthtown Crossing,Neighborhood Center,1371 Wilmington Pike,West Chester,PA,19382,Chester,Birmingham Township,,2002,Waters Retail Group,Waters Retail Group,Kevin Lahn,,123629,Burn Boot Camp,G,3500,Exercise Studio,,24,7 years,3/1/2020,3/1/2027,,Hypermarket,Anchors & Majors
Shoppes at Dilworthtown Crossing,Neighborhood Center,1371 Wilmington Pike,West Chester,PA,19382,Chester,Birmingham Township,,2002,Waters Retail Group,Waters Retail Group,Kevin Lahn,,123629,Wasabi Asian Restaurant,H,1550,Restaurant | Japanese,,30,5 years,2/1/2025,2/1/2030,,Pharmacy | Anchor,Anchors & Majors
Shoppes at Dilworthtown Crossing,Neighborhood Center,1371 Wilmington Pike,West Chester,PA,19382,Chester,Birmingham Township,,2002,Waters Retail Group,Waters Retail Group,Kevin Lahn,,123629,Old Havana Cigar Company,I,1400,Cigars and Cigarettes,,28,5 years ,1/1/2024,1/1/2029,,Wholesale Club,Anchors & Majors
Shoppes at Dilworthtown Crossing,Neighborhood Center,1371 Wilmington Pike,West Chester,PA,19382,Chester,Birmingham Township,,2002,Waters Retail Group,Waters Retail Group,Kevin Lahn,,123629,AIM Mail Centers,J,1400,Mail/Shipping Services,,27,5 years ,1/1/2022,1/1/2027,,Apparel (Activewear),Inline Retail
